comment_id,username,comment_text,is_offensive,offense_type,explanation
1,john_doe,I can't stand people like you.,True,toxicity,"The comment is an example of toxicity because it is a personal attack and a generalization, implying that the person being addressed is inferior or unworthy. It is also a form of bullying, as it is intended to belittle and intimidate the person."
2,alice123,This product is amazing! Loved it.,False,none,"The comment is a simple and positive review of a product, and does not contain any offensive language, hate speech, or toxic content."
3,bob_smith,You're a complete idiot.,True,Toxicity,"The comment is an insult and a personal attack, using derogatory language to belittle the person being addressed. It is a form of toxicity, which can be harmful and offensive to the recipient."
4,emma88,Have a nice day everyone!,False,none,"The comment is a friendly and innocuous greeting, wishing everyone a nice day. It does not contain any offensive language, hate speech, or toxic content."
5,mike_hate,I hope you fail miserably.,True,toxicity,The comment is a negative and aggressive statement that is intended to demotivate and belittle the person being addressed. It is a form of toxic behavior that can be harmful and unpleasant to encounter.
6,sara_k,"Lol, you're so dumb it's funny.",True,toxicity,"The comment is considered toxic because it contains a derogatory and belittling statement aimed at the person's intelligence, which can be hurtful and damaging to their self-esteem."
7,charlie_b,That’s a fantastic idea!,False,none,"The comment is a simple and positive statement, expressing enthusiasm and approval for an idea. It does not contain any offensive language, hate speech, or toxic behavior."
8,tony_xx,You are the worst human being ever.,True,toxicity,"The comment is a personal attack, using strong language to insult the person, which is considered toxic and offensive. It is not hate speech or profanity, but rather a general attempt to belittle and demean the person."
9,nina_sweet,"This made my day, thanks!",False,None,"The comment is a positive and uplifting statement, expressing gratitude and joy. It does not contain any offensive language, hate speech, or toxic behavior, and is not intended to harass or offend anyone."
10,danny_d,What the hell is wrong with you?,True,toxicity,"The comment contains strong language and a tone of aggression, which can be perceived as toxic and potentially offensive to the person being addressed."
11,user_11,"Great job, team!",False,None,"The comment ""Great job, team!"" is a positive and congratulatory statement, and it does not contain any offensive language, hate speech, or toxic content. It is a neutral and uplifting comment that is unlikely to offend anyone."
12,user_12,Absolute garbage. Can't believe I saw this.,False,none,"The comment is simply expressing a strong negative opinion, but it does not contain any offensive language, hate speech, or harmful content. It is a subjective and critical comment, but it is not offensive in nature."
13,user_13,You're such a loser.,True,toxicity,"The comment ""You're such a loser"" is considered toxic because it is a personal attack and an insult, intended to belittle and degrade the person being addressed. It is not a constructive or respectful comment, and is likely to cause emotional distress or discomfort."
